Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.0383E-05,0.059278,-0.0015073,0,0,0,3.4522,0.0090791,7.3607E-06,2.2923E-06,0.013921,-0.00022255,0.010161,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/base_link.STL,0.89804,0,0,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/base_link.STL,,base_no_cord-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Shoulder1,-8.131E-07,0.082255,0.013094,0,0,0,7.369,0.063313,-5.9582E-07,1.0885E-06,0.05364,-0.0010264,0.056122,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Shoulder1.STL,1,0.289,0.12,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Shoulder1.STL,,Link_1-1,Origin_J1,Axis_J1,J1,revolute,0,0,0.0993,1.5708,0,0,base_link,0,1,0,0,2.094,-6.28,6.28,,,1.5,1,6,-6,,2.094
Shoulder2,-4.978E-08,0.18974,0.081646,0,0,0,10.45,1.2886,-1.0341E-05,3.634E-07,0.093069,0.0026098,1.2766,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Shoulder2.STL,1,0.85,0.12,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Shoulder2.STL,,Link_2-1,Origin_J2,Axis_J2,J2,revolute,0,0.0814,0.0946,0,0,1.5708,Shoulder1,0,0,1,0,2.094,-6.28,6.28,,,1.5,1,6,-6,,2.094
Elbow,-1.5433E-05,0.16483,-0.048444,0,0,0,4.321,0.30179,-2.5582E-05,-7.3404E-06,0.023157,0.016558,0.29799,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Elbow.STL,0.2,0.9,0,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Elbow.STL,,Link_3-1,Origin_J3,Axis_J3,J3,revolute,0,0.4784,0,0,0,0,Shoulder2,0,0,1,0,3.141,-6.28,6.28,,,1.5,1,6,-6,,3.141
Wrist1,6.1842E-06,0.0015493,0.063631,0,0,0,2.18,0.008219,1.0802E-07,1.8391E-07,0.0067972,-0.00020953,0.0059858,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist1.STL,0.07,0.2,0.8,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist1.STL,,Link_4-1,Origin_J4,Axis_J4,J4,revolute,0,0.36,0,0,0,1.5708,Elbow,0,0,1,0,3.141,-6.28,6.28,,,1,1,6,-6,,3.141
Wrist2,1.976E-07,0.1069,0.0017385,0,0,0,2.033,0.0064896,-1.1566E-07,-5.9406E-08,0.0055298,-0.00016722,0.0050727,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist2.STL,0.12,0,0.4,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist2.STL,,Link_5-1,Origin_J5,Axis_J5,J5,revolute,0,0.0033422,0.07955,0,0,0,Wrist1,0,1,0,0,3.141,-6.28,6.28,,,1.5,1,6,-6,,3.141
Wrist3,5.5566E-10,-7.868E-05,0.027763,0,0,0,0.907,0.0011921,-6.8485E-11,2.3129E-11,0.0011964,2.3325E-07,0.0015671,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist3.STL,0.2,0,0.32,1,0,0,0,0,0,0,package://eSeries_UR16e_14012020_URDF/meshes/Wrist3.STL,,Link_6-1,Origin_J6,Axis_J6,J6,revolute,0,0.11651,0.0569,0,0,0,Wrist2,0,0,1,0,3.141,-6.28,6.28,,,1.5,1,6,-6,,3.141
